"driver_id","shift_start_sec","shift_end_sec","start_location_lat","start_location_long","capacity"
0,0,7200,52.5026702472371,13.447406225626263,20
1,0,7200,52.51825846576449,13.447747143316688,20
2,0,7200,52.51787643529874,13.46078821890353,20
3,0,7200,52.52827522620682,13.431436372240109,20
4,0,7200,52.51085374131023,13.454661665655246,20
5,0,7200,52.514643361851455,13.402589605787178,20
6,0,7200,52.53207771721021,13.457357701924908,20
7,0,7200,52.53887324752329,13.383652291956546,20
8,0,7200,52.506911133892935,13.351823418762379,20
9,0,7200,52.52807641426372,13.445080909837618,20
10,0,7200,52.498447192014595,13.433057368234058,20
11,0,7200,52.53460358631998,13.422424903511715,20
12,0,7200,52.55557131125875,13.412603680959423,20
13,0,7200,52.50266844664645,13.370352234754339,20
14,0,7200,52.50536762555464,13.421932696661914,20
15,0,7200,52.49200419441865,13.420746350307269,20
16,0,7200,52.5284100862145,13.42249169382013,20
17,0,7200,52.51783254925154,13.41603353103469,20
18,0,7200,52.51428073466394,13.377548086341092,20
19,0,7200,52.53389625892894,13.423838397406893,20
20,0,7200,52.526428799038655,13.415326219431153,20
21,0,7200,52.522637375748474,13.39251389963383,20
22,0,7200,52.54507862930415,13.405496585020481,20
23,0,7200,52.48888129595062,13.413491970440946,20
24,0,7200,52.49965708711838,13.400769776814043,20
25,0,7200,52.536300630855784,13.35719417877207,20
26,0,7200,52.53277894554675,13.419761149559886,20
27,0,7200,52.51468229290953,13.383561269602914,20
28,0,7200,52.53001421134684,13.416035777476448,20
29,0,7200,52.5155003838896,13.359991130947837,20
30,0,7200,52.51838223345107,13.396921007345794,20
31,0,7200,52.522532936127966,13.360765329503556,20
32,0,7200,52.529206276386574,13.460623120557585,20
33,0,7200,52.53550154058375,13.374686900730604,20
34,0,7200,52.548725484301606,13.38100468865719,20
35,0,7200,52.491458427350274,13.401025243030183,20
36,0,7200,52.51457224280833,13.357669108543954,20
37,0,7200,52.52015554856104,13.408031127963078,20
38,0,7200,52.504812517738074,13.381979161465575,20
39,0,7200,52.52130451525234,13.381408391343985,20
